                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.09364,                0.96304,                      1,                0.33989,               0.070108,              0.0033213,              0.0033213
                      1,                0.02653,                 0.9117,                      1,                0.38389,               0.039889,               0.006435,               0.006435
                      2,                0.01958,                0.98768,                      1,                0.31016,              0.0094491,              0.0093288,              0.0093288
                      3,                0.01292,                0.99589,                      1,                 0.3031,                0.00901,                0.00901,                0.00901
                      4,                  0.007,                0.99589,                      1,                0.30456,                0.00901,                0.00901,                0.00901
                      5,                0.00352,                0.99589,                      1,                0.30249,                0.00868,                0.00868,                0.00868
                      6,                0.00303,                0.99384,                      1,                0.30358,                0.00835,                0.00835,                0.00835
                      7,                0.00198,                0.99589,                      1,                0.30355,                0.00802,                0.00802,                0.00802
                      8,                0.00109,                0.99589,                      1,                0.30145,                0.00769,                0.00769,                0.00769
                      9,                0.00062,                0.99589,                      1,                0.30256,                0.00736,                0.00736,                0.00736
                     10,                0.00052,                0.98768,                      1,                0.30997,                0.00703,                0.00703,                0.00703
                     11,                0.00072,                0.99589,                      1,                 0.3017,                 0.0067,                 0.0067,                 0.0067
                     12,                 0.0002,                0.99589,                      1,                0.30185,                0.00637,                0.00637,                0.00637
                     13,                0.00047,                0.99589,                      1,                0.30204,                0.00604,                0.00604,                0.00604
                     14,                0.00015,                0.99589,                      1,                0.30192,                0.00571,                0.00571,                0.00571
                     15,                  4e-05,                0.99589,                      1,                 0.3021,                0.00538,                0.00538,                0.00538
                     16,                  2e-05,                0.99589,                      1,                0.30239,                0.00505,                0.00505,                0.00505
                     17,                  3e-05,                0.99589,                      1,                0.30253,                0.00472,                0.00472,                0.00472
                     18,                  2e-05,                0.99589,                      1,                0.30218,                0.00439,                0.00439,                0.00439
                     19,                  2e-05,                0.99589,                      1,                0.30227,                0.00406,                0.00406,                0.00406
                     20,                  2e-05,                0.99589,                      1,                0.30234,                0.00373,                0.00373,                0.00373
                     21,                  2e-05,                0.99589,                      1,                  0.302,                 0.0034,                 0.0034,                 0.0034
                     22,                  2e-05,                0.99589,                      1,                0.30205,                0.00307,                0.00307,                0.00307
                     23,                  2e-05,                0.99589,                      1,                0.30196,                0.00274,                0.00274,                0.00274
                     24,                  2e-05,                0.99589,                      1,                0.30228,                0.00241,                0.00241,                0.00241
                     25,                  2e-05,                0.99589,                      1,                0.30206,                0.00208,                0.00208,                0.00208
                     26,                  2e-05,                0.99589,                      1,                0.30217,                0.00175,                0.00175,                0.00175
                     27,                  2e-05,                0.99589,                      1,                0.30236,                0.00142,                0.00142,                0.00142
                     28,                  2e-05,                0.99589,                      1,                0.30207,                0.00109,                0.00109,                0.00109
                     29,                  2e-05,                0.99589,                      1,                0.30246,                0.00076,                0.00076,                0.00076
